1.513,1.540,92.820
1.528,1.531,93.680
1.519,1.519,95.100
1.507,1.514,95.490
1.482,1.512,95.660
1.525,1.505,96.380
1.516,1.510,96.040
1.474,1.502,96.520
1.515,1.500,96.680
1.503,1.502,96.630
1.535,1.498,97.020
1.499,1.498,97.190
1.490,1.502,96.590
1.489,1.502,96.760
1.465,1.496,97.400
1.476,1.495,97.380
1.492,1.496,97.310
1.498,1.496,97.070
1.478,1.501,96.780
1.487,1.500,96.750
1.487,1.493,97.480
1.480,1.494,97.390
1.491,1.495,97.470
1.509,1.495,97.260
1.507,1.502,96.620
1.476,1.495,97.390
1.482,1.495,97.270
1.481,1.494,97.520
1.502,1.493,97.480
1.502,1.494,97.400
1.487,1.491,97.670
1.507,1.495,97.440
1.491,1.493,97.570
1.483,1.497,97.120
1.500,1.494,97.310
1.493,1.495,97.180
1.493,1.493,97.590
1.492,1.496,97.430
1.477,1.493,97.580
1.486,1.492,97.640
